㔩	qop
扣	*kǒu kòu
扶	*bhio
批	pei
承	*zhiəng
抉	guet
把	*bǎ
抑	qiək
投	*dhou
抗	kɑ̀ng
折	*jiɛt
抛	pau
披	*pyɛ
抱	*bhɑ̌u
抵	děi
抹	*mɑt
抽	*tjiou
拂	*piət
拆	*tjæk
拍	pæk
拒	ghiǔ
拓	tɑk
拔	*bhat
拘	gio
拙	*jiuɛt
招	*jiɛu
拜	*bæ̀i
拭	shiək
拱	*giǒng
拳	ghyuɛn
拽	iɛ̀i
拾	zhip
持	*djhiə
挂	*guɛi
指	*jǐ
按	qɑ̀n
挑	dheu teu
振	*jìn
挱	sɑ
挺	dheng
挽	miæ̌n
捉	jrak
捋	luɑt
捐	iuɛn
捕	bhò
捧	piǒng
捨	shiǎ
捩	let
捫	mən
捲	*gyuɛ̌n
捶	jiuɛ̌
捷	dzhiɛp
掃	*sɑ̌u sɑ̀u
掇	duɑt
授	zhiòu
掉	dhèu
掌	*jiɑ̌ng
掎	gyiɛ̌
排	*bhæi
掖	iɛk
掘	ghiuæt ghiuət
掛	*guɛ̀i
掠	liɑk
採	*tsə̌i
探	tɑm tɑ̀m
掣	chiɛt
接	*tziɛp
控	*kùng
推	tuəi
掩	*qyɛ̌m
掬	giuk
掾	iuɛ̀n
揀	gɛ̌n
提	dhei zhiɛ
插	*chræp
揖	qip
揚	*iang
換	*huɑ̀n
握	qak
揮	*xiuəi
援	hiuæn
搏	bɑk pɑk
搔	*sɑu
搜	shrǎu shriou
搥	duəi
搪	dhɑng
搴	gyɛ̌n
摇	*iɛu
摐	chrang dzhiong
摘	djɛk
摛	tjiɛ
摧	*dzhuəi
摩	*mɑ
摭	jiɛk
摵	shrɛk
摶	dhuɑn
摻	shræ̌m
撇	pet
撐	*tjæ̌ng
撒	sɑt
撓	nǎu
撚	něn
撝	xyuɛ
撥	*bɑt
撩	leu lěu
撫	*piǒ
撰	jrhiuɛ̌n
撲	puk
撻	tɑt
撼	hǒm
擁	*qiǒng
擅	zhiɛ̀n
擇	djhæk
擊	*gek
操	tsɑu tsɑ̀u
擎	ghiæng
擒	ghyim
擗	bɛk
據	*giù
擢	djhak
擣	*dɑ̌u
擬	ngiə̌
擲	*djhiɛk
擷	het xet
擺	bɛ̌i
擾	njiɛ̌u
擿	*djhiɛk
攀	*pan
攏	lǔng
攔	*lɑn
攜	*huei
攝	shiɛp
攢	dzhuɑn
攣	liuɛn
攪	gǎu
攬	lɑ̌m
支	jiɛ
收	*shiou shiòu
攸	iou
改	*gə̌i
攻	gong gung
放	*biɑ̀ng
故	*gò
效	hàu
救	*giòu
敕	tjiək
敖	ngɑu
敗	bhài
教	*gau gàu
敝	bhiɛ̀i
敞	chiɑ̌ng
敢	*gɑ̌m
散	*sɑ̀n
敦	duəi
敧	gyɛ kyɛ
敬	*giæ̀ng
敲	kau
整	jiɛ̌ng
敵	*dhek
敷	pio
數	*shriò *shriǒ
斂	liɛ̀m liɛ̌m
斃	bhiɛ̀i
斆	gàu
文	*miən
斑	ban
斗	*dǒu
料	*lèu
斛	huk
斜	*zia
斟	jim
斥	chiɛk
斧	biǒ
斫	jiɑk
斬	*jræ̌m
斯	*siɛ
新	*sin
斷	*dhuɑ̌n
方	*biɑng
施	*shiɛ shiɛ shiɛ̀
旁	*bhɑng
旃	jiɛn
旄	*mɑu
旅	*liǔ
旆	bhɑ̀i
旋	*ziuɛn
旌	*tziɛng
旎	niɛ̌
族	dzhuk
旒	liou
旖	qyɛ̌
旗	*ghiə
旛	piæn
旣	*giə̀i
日	*njit
旦	dɑ̀n
旨	jǐ
早	*tzɑ̌u
旬	zuin
旰	gɑ̀n
旻	myin
昂	*ngɑng
昆	guən
昇	*shiəng
昊	*hɑ̌u
昌	chiɑng
明	*miæng
昏	*xuən
易	*iɛ̀ iɛk
昔	*siɛk
星	*seng
映	*qiæ̀ng
春	*chuin
昧	*mə̀i
昨	*dzhɑk
昭	*jiɛu
是	*zhiɛ̌
昵	nit
時	*zhiə
晋	*tzìn
晏	qàn qèn qěn
晚	*miæ̌n
晝	*djiòu
晞	xiəi
晡	bo
晦	xuə̀i
晨	*jhin zhin
景	*giæ̌ng *qiæ̌ng
晴	*dzhiɛng
晶	tziɛng
智	djiɛ̀
晼	*qiuæ̌n
暇	hà
暈	ngiuən
暉	*xiuəi
暑	shiǔ
暖	*nuɑ̌n
暗	*qòm
暝	*mèng meng
暢	tjiɑ̀ng
暨	gyì
暫	*dzhɑ̀m
暮	*mò
暴	bhɑ̀u
曉	*xěu
曙	*zhiù
曜	iɛ̀u
曠	*kuɑ̀ng
曦	xyɛ
曰	*hiuæt
曲	*kiok
曳	*iɛ̀i
更	*gæng gæ̀ng
曷	hɑt
書	*shiu
曹	*dzhɑu
曼	miæ̀n
曾	*dzhəng *tzəng
替	tèi
最	*tzuɑ̀i
會	*huɑ̀i
月	*ngiuæt
有	*hiǒu
朋	bhəng
服	*bhiuk
朔	*shrak
朗	lɑ̌ng
望	*miɑng miɑ̀ng
朝	*djhiɛu *djiɛu
期	*ghiə
朣	dhung
朦	mung
朧	lung
木	*muk
未	*miə̀i
末	mɑt
本	*bə̌n
札	jrat
朱	*jio zhio
朵	duɑ̌
朽	xiǒu
杆	*gɑn
杈	chrɛ̀i
杉	shræm
李	*liə̌
杏	hæ̌ng
材	*dzhəi
村	*tsuən
杓	zhiɑk
杕	dhèi
杖	*dhjiɑ̌ng
杜	*dhǒ
杞	kiə̌
束	*shiok
杪	miɛ̌u
杯	*bəi
東	*dung
杲	gɑ̌u
杳	*qěu
杵	chiǔ
杷	bha
松	*ziong
板	bǎn
枉	*qiuɑ̌ng
析	sek
枒	nga
枕	*jǐm
林	*lim
枚	miɛ̌u
果	*guɑ̌
枝	*jiɛ
枯	*ko
枳	gyɛ̌ jiɛ̌
枻	iɛ̀i
柄	biæ̀ng
柏	*bæk
染	njiɛ̀m njiɛ̌m
柔	njiou
柚	iòu
柝	tɑk
柟	nom
柯	gɑ
柱	*djhiǒ
柳	*liǒu
柴	*jrhɛi
