㢅	20884.050:lòng
㢈	20889.010:tuí,duī
㢉	20888.070:chá
㢊	20887.050:ǎi,yǐ
㢋	20888.100:chǐ
㢍	20892.070:yǐng
㢎	20893.080:zhé
㢏	20893.150:tóu,yǔ,yú
㢒	20898.050:chá
㢔	20899.080:zǒng
㢖	20903.030:pān,bān
㢗	20902.040:qiào
㢚	20905.060:lǔ
㢛	20905.110:yàn,qiān
㢜	20905.020:kàng
㢝	20908.050:sū
㢞	20908.190:yì
㢟	10403.080:chān
㢥	10559.130:dòng
㢧	20988.040:juàn
㢨	20991.020:hàn
㢩	20991.110:dì
㢬	20992.010:hóng
㢯	20994.010:diāo,mín
㢰	20994.070:bì
㢵	20995.100:xié,shè
㢸	20997.020:bì
㢻	20998.100:ruì
㢾	20999.110:juàn
㣀	21001.110:zhèn
㣁	21001.050:bèi
㣂	21001.060:è
㣄	21002.010:qú
㣅	21002.060:zàn
㣆	21005.180:mí
㣇	20961.010,20961.020:yì
㣈	20962.140:sì
㣌	20854.030:shàn
㣎	20855.020:mù
㣑	20856.160:róng
㣒	20857.070:cèng
㣓	20858.010:càn
㣔	20811.030:dīng
㣙	20816.040:dí,zhòu
㣚	20819.120:tǒng,tóng,dòng
㣛	20819.180:tà,huì
㣜	20818.050:xíng
㣝	20818.060:sōng
㣞	20819.200:duó
㣟	20819.020:xì
㣠	20819.110:tāo,tóng
㣢	20826.050:tí
㣣	20824.040:shàn
㣦	20829.050:wēi
㣪	20836.020:huǎn
㣫	20835.010:zhǒng,dòng
㣬	20832.080:qì
㣭	20836.070:zōng
㣯	20839.140:xiè
㣰	20840.160:xiè
㣱	20839.180:zé
㣶	20848.030:zhān
㣷	20850.050:nìng
㣻	42268.040:yì
㣽	42271.020:shù,nù
㣾	42273.060:chà
㣿	42272.120:zhuó,diǎo
㤃	42278.070:fáng
㤄	42275.130:pèi
㤅	42273.130:ài,xì,jì
㤆	42277.060:fàn
㤇	42277.030:ǎo
㤈	42278.100:qìn
㤉	42276.080:qiā,yà
㤊	42277.090:xiào
㤋	42277.120:fēn
㤌	42283.070:gān
㤍	42279.060:qiāo,qiǎo
㤎	42282.040:gē
㤏	42287.070:tóng
㤐	42280.020:chān
㤑	42284.050:yòu
㤒	42284.080:gāo
㤓	42283.100:bèn
㤔	42286.070:fù
㤕	42288.060:chù,pò
㤖	42287.120:zhù
㤚	42296.130:háng
㤝	42298.110:chōng
㤞	42298.140:chà,duó,zé
㤠	42290.100:liè
㤡	42294.150:lì,liè
㤢	42294.110:yù
㤥	42298.100:hài
㤦	42294.060:lì
㤧	42296.120:hóu
㤨	42294.030:gǒng
㤫	42290.080:dé
㤮	42301.080:guàng
㤯	42305.100:jiǒng
㤰	42301.010:zuò
