凔	0167.060*,0167.061:chuàng
凘	1084.110:sī
凙	0280.100*,0280.101:duó
凛	0718.010:lǐn
凜	0718.011:lǐn
凝	0835.190:níng
凟	0266.012:dú
几	0521.050:jī 0531.040:jǐ
凡	0300.120:fán
凢	0300.121:fán
凤	0332.060:fèng
処	0160.103:chǔ 0161.113:chù
凫	0338.070:fú
凭	0883.060:píng
凯	0631.100:kǎi
凰	0497.130:huáng
凱	0631.101:kǎi
凳	0228.070:dèng
凴	0883.062:píng
凶	1293.040:xiōng
凷	0656.090:kuài
凸	1160.030:tū
凹	0011.030:āo 1176.060:wā
出	0155.030:chū
击	0518.080:jī
凼	0217.030:dàng
函	0439.050:hán
凿	1441.040:záo 1551.030:zuò
刀	0217.050:dāo
刁	0248.070:diāo
刃	0965.010:rèn
刄	0965.011:rèn
分	0318.040:fēn 0324.040,0324.071:fèn
切	0923.050:qiē 0924.080:qiè
刈	1370.030:yì
刊	0631.140:kān
刌	0185.010:cǔn
刍	0159.110:chú
刎	1207.010:wěn
刑	1288.060:xíng
划	0482.010:huá 0485.020:huà 0488.060:huai
刓	1183.030:wán
刖	1430.030:yuè
列	0713.060:liè
刘	0724.040:liú
则	1444.090:zé
刚	0360.070:gāng
创	0167.010:chuāng 0167.080:chuàng
刜	0339.100:fú
初	0154.020:chū
删	0998.030:shān
判	0853.010:pàn
刦	0579.011:jié
刧	0579.012:jié
刨	0043.040:bào 0856.080:páo
利	0697.200:lì
刪	0998.031:shān
别	0073.070:bié 0074.020:biè
刬	0119.070:chǎn 0120.020:chàn
刭	0601.040:jǐng
刮	0402.130:guā
到	0221.040:dào
刲	0662.010:kuī
刳	0653.050:kū
刴	0281.121:duò
刵	0291.020:èr
制	1492.120:zhì
刷	1070.100:shuā 1071.020:shuà
券	0950.050:quàn 1308.060:xuàn
刹	0115.040:chà 0993.020:shā
刺	0172.110:cī 0176.060:cì
刻	0641.040:kè
刼	0579.013:jié
刽	0421.020:guì
刿	0420.130:guì
剀	0631.080:kǎi
剁	0281.120:duò
剂	0532.030:jì
剃	1130.030:tì
剄	0601.041:jǐng
剅	0734.060:lóu
剉	0187.010:cuò
削	1264.010:xiāo 1308.100:xuē
剋	0642.031:kè 0644.040:kēi
剌	0668.011:lá 0669.020:là
前	0911.010:qián
剏	0167.082:chuàng
剐	0403.050:guǎ
剑	0557.020:jiàn
剒	0186.060:cuò
剔	1126.070:tī
剕	0316.080:fèi
剖	0887.040:pōu
剗	0119.071:chǎn 0120.021:chàn
剙	0167.083:chuàng
剚	1534.030:zì
剛	0360.071:gāng
剜	1181.020:wān
剞	0520.060:jī
剟	0280.040:duō
剠	0934.021:qíng
剡	0999.140:shàn 1328.070:yǎn
剥	0037.070:bāo 0082.030:bō
剧	0615.090:jù
剨	0509.061:huō
剩	1030.030:shèng
剪	0551.050:jiǎn
剮	0403.051:guǎ
副	0342.060:fù
割	0368.040:gē
剴	0631.081:kǎi
創	0167.011:chuāng 0167.081:chuàng
剷	0119.022:chǎn
剺	0691.080:lí
剽	0874.030:piāo
剿	0127.020:chāo 0570.020:jiǎo
劀	0403.030:guā
劁	0920.110:qiāo
劂	0618.170:jué
劃	0482.011:huá 0484.052,0485.021:huà 0488.061:huai
劄	1447.130:zhā 1447.180:zhá
劇	0615.091:jù
劈	0866.080:pī 0870.080:pǐ
劉	0724.041:liú
劊	0421.021:guì
劌	0420.131:guì
劍	0557.021:jiàn
劐	0509.020:huō
劑	0532.031:jì
劓	1371.060:yì
劔	0557.022:jiàn
劗	0553.110*:jiǎn
劘	0799.020:mó
劙	0692.120:lí
劚	1512.081:zhǔ
力	0699.040:lì
劝	0950.060:quàn
办	0033.030:bàn
功	0382.010:gōng
加	0540.040:jiā
务	1224.070:wù
劢	0761.020:mài
劣	0714.060:liè
劤	0593.022:jìn
动	0259.050:dòng
助	1515.040:zhù
努	0841.060:nǔ
劫	0579.010:jié
劬	0945.050:qú
劭	1009.090:shào
励	0697.180:lì
劲	0593.020:jìn 0604.010:jìng
劳	0677.010:láo
効	1271.062:xiào
劻	0659.110:kuāng
劾	0449.010:hé
势	1052.030:shì
勁	0593.021:jìn 0604.011:jìng
勃	0083.010:bó
勅	0146.011:chì
勇	1392.120:yǒng
勉	0786.040:miǎn
勋	1313.030:xūn
勍	0934.030:qíng
勐	0779.040:měng
勑	0146.012:chì
勒	0684.020:lè 0684.070:lēi
勔	0785.090:miǎn
動	0259.051:dòng
勖	1302.130:xù
勗	1302.131:xù
勘	0631.170:kān
務	1224.071:wù
勚	1368.220:yì
勝	1030.051:shèng
勞	0677.011:láo
募	0806.100:mù
勠	0739.061:lù
勢	1052.031:shì
勣	0518.050*:jī
勤	0926.110:qín
勥	0562.101:jiàng
勦	0127.021:chāo 0570.021:jiǎo
勰	1276.020:xié
勱	0761.021:mài
勳	1313.031:xūn
勵	0697.181:lì
勷	0955.110:ráng
勸	0950.061:quàn
勺	1008.080:sháo
勼	0604.170:jiū
勾	0389.070:gōu 0392.050:gòu
勿	1224.090:wù
匀	1432.100:yún
匄	0352.040:gài
包	0035.130:bāo
匆	0177.080:cōng
匈	1294.030:xiōng
匉	0863.040:pēng
匊	0609.181:jū
匋	1122.030:táo
匍	0889.050:pú
匏	0856.050:páo
匐	0335.070:fú
匕	0056.020:bǐ
化	0478.030:huā 0486.010:huà
北	0045.050:běi
匙	0143.050:chí 1054.070:shi
匜	1363.120:yí
匝	1435.030:zā
匠	0562.020:jiàng
匡	0659.030:kuāng
匣	1239.020:xiá
匦	0420.010:guǐ
匪	0315.080:fěi
匮	0663.150:kuì
匯	0503.062:huì
匲	0702.013:lián
匳	0702.012:lián
匵	0267.022:dú
匹	0870.050:pǐ
区	0845.060:ōu 0942.020:qū
医	1359.050:yī
匼	0638.120:kē
匾	0065.070:biǎn
匿	0829.010:nì
區	0845.061:ōu 0942.021:qū
十	1037.020:shí
千	0909.010:qiān
卅	0981.030:sà
升	1028.060:shēng
午	1223.010:wǔ
卉	0504.080:huì
半	0031.010:bàn
卋	1050.061:shì
卌	1235.090:xì
华	0483.030:huá 0487.010:huà
协	1275.050:xié
卑	0044.060:bēi
卒	0181.020:cù 1544.040:zú
卓	1526.060:zhuō
協	1275.051:xié
单	0117.100:chán 0207.100:dān 0999.090:shàn
卖	0760.010:mài
南	0811.040:nā 0815.050:nán
博	0083.030:bó
卜	0085.090:bo 0086.030:bǔ
卝	0661.040:kuàng
卞	0066.020:biàn
卟	0087.010:bǔ
占	1450.160:zhān 1452.070:zhàn
