a00229-001	㢙
a00229-004	
a00229-005	
a00229-006	
a00229-007	
a00229-008	仅
a00229-008-2	
a00230	傾
a00230-001	
a00230-002	
a00230-003	
a00230-005	
a00230-006	
a00230-007	
a00230-008	
a00230-010	
a00230-011	
a00230-013	𨻺
a00230-014	
a00230-015	
a00230-016	
a00231	催
a00232	傷
a00232-001	
a00232-002	
a00232-003	
a00232-008	
a00232-010	
a00232-011	
a00232-012	
a00232-013	
a00232-014	
a00232-015	
a00232-016	
a00232-017	
a00232-018	
a00233	傻
a00233-001	儍
a00233-002	
a00233-003	
a00233-004	
a00233-005	
a00233-006	
a00234	傯
a00234-001	偬
a00234-002	
a00234-003	
a00234-004	倊
a00234-005	𠏨
a00235	僧
a00235-001	僧
a00235-002	
a00235-003	
a00235-004	
a00235-005	
a00235-009	
a00235-010	
a00235-011	
a00235-013	
a00235-014-1	
a00235-015	
a00235-016	
a00235-017	
a00235-018	
a00236	僮
a00236-001	偅
a00237	僥
a00237-001	
a00237-002	
a00237-003	
a00237-004	
a00237-005	
a00237-007	
a00237-010	憢
a00238	僖
a00238-001	
a00238-002	
a00239	僭
a00239-001	僣
a00239-002	
a00239-003	
a00239-004	𠍴
a00239-005	
a00239-006	
a00239-007	
a00239-008	
a00240	僚
a00240-001	𠏗
a00240-002	
a00240-003	
a00240-004	
a00240-005	
a00240-006	
a00240-007	
a00240-008	
a00240-009	
a00240-010	
a00240-011	
a00240-012	
a00240-013	
a00240-015	
a00240-016	
a00240-017	
a00241	僕
a00241-001	𢖃
a00241-002	䑑
a00241-003	
a00241-005	仆
a00241-006	
a00241-007	
